Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Canada,09-Aug-1966,Douglas Dakota IIIS&R (DC-3),971,RCAF,,Greenwood Ca...,U1
Turkey,24-Apr-1998,Ilyushin Il-62M,YR-IRD,Trans Asian Airlines,0,Istanbul-Ata...,A1
Australia,29-Jan-1945,PB2B-1 Catalina,A24-204,RAAF,,"near Truscott, WA",A1
Canada,15-May-2000,Airbus A319-114,C-FYJE,Air Canada,0,"near Goderich, ON",A2
Congo (former Zaire),04-Apr-2011,Canadair CRJ-100ER,4L-GAE,"Georgian Airways, op.for UN",32,Kinshasa-N'D...,A1
USA,22-Mar-1945,Curtiss C-46A,43-47184,USAAF,2,"near Slater, MO",A1
Bulgaria,10-Jan-1984,Tupolev Tu-134A,LZ-TUR,Balkan Bulgarian,50,near Sofia-Vrazhd...,A1
Colombia,30-Jan-2001,Dornier 328-120,FAC-1165,SATENA,0,Bogotá,H2
USA,21-Dec-1989,Boeing 757-223,N611AM,American Airlines,0,Santa Ana-Or...,A2
Brazil,29-Jan-1995,DC-8-62AF,N791AL,Arrow Air,0,Manaus-Eduar...,A2
United Kingdom,04-Feb-1954,Bristol 175 Britannia 101,G-ALRX,UK Ministry of Supply,0,Severn Estua...,A1
USA,02-Jan-1980,Boeing EC-135P,58-0007,USAF,0,Hampton-Lang...,O1
Lebanon,21-Aug-1985,Boeing 720-047B,OD-AGQ,MEA,0,Beirut Inter...,C1
China,??-???-1945,Douglas C-47A (DC-3),42-93369,USAAF,,Chungking,U1
Colombia,28-Jan-1962,Douglas C-54B (DC-4),HK-130,Avianca,0,Cúcuta Airpo...,A1
Germany,23-Feb-1947,Douglas C-47A (DC-3),43-15357,USAAF,,Kaufbeuren,A1
USA,22-Nov-1930,Fokker F.10A,NC580K,Southern Air Fast Express,,Dallas-Love ...,U1
Sweden,05-Jan-1970,Convair CV-990,EC-BNM,Spantax,5,near Stockholm-Ar...,A1
Canada,13-Dec-2017,ATR 42-320,C-GWEA,West Wind Aviation,1,near Fond-du-Lac ...,A1
South Sudan,15-Jun-2008,CASA C-212 Aviocar 200,5Y-TSL,Turbine Services,0,Mathiang Air...,A2
Papua New Guinea,11-Dec-1942,Douglas DC-3-391,VHCDI,ADAT,,Popondetta,A1
India,26-Nov-1955,Douglas C-47 (DC-3),HJ250,Indian AF,0,near Agra-Kheria ...,A1
Pakistan,29-Sep-1981,Boeing 737-200,,Indian Airlines,0,Lahore Airpo...,H2
India,16-Dec-1944,Douglas Dakota III (DC-3),FL600,RAF,,Agartala Air...,A1
Mozambique,27-Mar-1983,Boeing 737-2B1,C9-BAB,LAM,0,near Quelimane Ai...,A1
USA,04-Jan-1971,Douglas C-47A (DC-3),N7,FAA,0,New York-La ...,A1
Congo (former Zaire),07-Mar-1974,Douglas DC-4-1009,9Q-CBH,Air Zaire,0,Gemena Airpo...,A1
Myanmar,02-Feb-1946,Douglas Dakota IV (DC-3),KJ996,RAF,5,near Pegu,A1
Angola,08-Apr-1989,Lockheed L-100-20 Hercules,S9-NAI,Transafrik,0,near Luena Airpor...,A1
Canada,21-Feb-1995,Beech A100 King Air,C-GYQT,Bearskin Airlines,0,near Big Trout Ai...,A1
USA,17-Sep-1947,Curtiss C-46E,NC59495,Slick Airways,0,Hollywood-Lo...,A1
Bolivia,21-Jan-2005,Cessna 208B Grand Caravan,CP-2412,Línea Aérea Amaszonas,0,near Colquiri,A1
Canada,23-Oct-1941,Consolidated PBY-5 Catalina,2346,US Navy,,Argentia NAS...,A1
Austria,17-Sep-1984,Swearingen SA226-TC Metro II,OE-LSA,Austrian Air Services,0,Wien-Schwech...,A1
Poland,03-Mar-1962,Ilyushin Il-14P,26,Polish AF,0+ 1,near Warsaw,A1
Colombia,07-Jul-1985,Douglas DC-3A,HK-1340,LACOL Colombia,3,near Villavicenci...,A1
Argentina,07-Feb-1997,Dassault Falcon 20C,LV-WLH,Air Service,4,near Salta-Martín...,A1
Angola,05-Jan-2001,Boeing 727-46F,S9-BAI,Air Gemini Cargo,0+ 1,Dundo Airpor...,A1
Argentina,12-May-1965,Douglas C-47A (DC-3),965,Chilean AF,0,near Mendoza-El P...,A1
China,25-Oct-1944,Curtiss C-46A,42-3593,USAAF,,Pao-shan,A1
